panel,outcome,stage_level,years,predicted
mri_amyloid,CDRSUM,Stage 0,5.931,-0.5011
mri_amyloid,CDRSUM,Stage 0,6.19,-0.5141
mri_amyloid,CDRSUM,Stage 0,6.448,-0.5272
mri_amyloid,CDRSUM,Stage 0,6.707,-0.5403
mri_amyloid,CDRSUM,Stage 0,6.966,-0.5533
mri_amyloid,CDRSUM,Stage 0,7.224,-0.5664
mri_amyloid,CDRSUM,Stage 0,7.483,-0.5795
mri_amyloid,CDRSUM,Stage 0,7.741,-0.5926
mri_amyloid,CDRSUM,Stage 0,8.0,-0.6056
mri_amyloid,CDRSUM,Stage 3,0.5,0.3623
mri_amyloid,CDRSUM,Stage 3,0.759,0.4604
mri_amyloid,CDRSUM,Stage 3,1.017,0.5584
mri_amyloid,CDRSUM,Stage 3,1.276,0.6565
mri_amyloid,CDRSUM,Stage 3,1.534,0.7545
mri_amyloid,CDRSUM,Stage 3,1.793,0.8526
mri_amyloid,CDRSUM,Stage 3,2.052,0.9506
mri_amyloid,CDRSUM,Stage 3,2.31,1.0486
mri_amyloid,CDRSUM,Stage 3,2.569,1.1467
mri_amyloid,CDRSUM,Stage 3,2.828,1.2447
mri_amyloid,CDRSUM,Stage 3,3.086,1.3428
mri_amyloid,CDRSUM,Stage 3,3.345,1.4408
mri_amyloid,CDRSUM,Stage 3,3.603,1.5389
mri_amyloid,CDRSUM,Stage 3,3.862,1.6369
mri_amyloid,CDRSUM,Stage 3,4.121,1.7349
mri_amyloid,CDRSUM,Stage 3,4.379,1.833
mri_amyloid,CDRSUM,Stage 3,4.638,1.931
mri_amyloid,CDRSUM,Stage 3,4.897,2.0291
mri_amyloid,CDRSUM,Stage 3,5.155,2.1271
mri_amyloid,CDRSUM,Stage 3,5.414,2.2252
mri_amyloid,CDRSUM,Stage 3,5.672,2.3232
mri_amyloid,CDRSUM,Stage 3,5.931,2.4212
mri_amyloid,CDRSUM,Stage 3,6.19,2.5193
mri_amyloid,CDRSUM,Stage 3,6.448,2.6173
mri_amyloid,CDRSUM,Stage 3,6.707,2.7154
mri_amyloid,CDRSUM,Stage 3,6.966,2.8134
mri_amyloid,CDRSUM,Stage 3,7.224,2.9115
mri_amyloid,CDRSUM,Stage 3,7.483,3.0095
mri_amyloid,CDRSUM,Stage 3,7.741,3.1075
mri_amyloid,CDRSUM,Stage 3,8.0,3.2056
mri_amyloid,CDRSUM,Stage 6,0.5,0.9512
mri_amyloid,CDRSUM,Stage 6,0.759,1.1604
mri_amyloid,CDRSUM,Stage 6,1.017,1.3695
mri_amyloid,CDRSUM,Stage 6,1.276,1.5787
mri_amyloid,CDRSUM,Stage 6,1.534,1.7879
mri_amyloid,CDRSUM,Stage 6,1.793,1.997
mri_amyloid,CDRSUM,Stage 6,2.052,2.2062
mri_amyloid,CDRSUM,Stage 6,2.31,2.4153
mri_amyloid,CDRSUM,Stage 6,2.569,2.6245
mri_amyloid,CDRSUM,Stage 6,2.828,2.8336
mri_amyloid,CDRSUM,Stage 6,3.086,3.0428
mri_amyloid,CDRSUM,Stage 6,3.345,3.252
mri_amyloid,CDRSUM,Stage 6,3.603,3.4611
mri_amyloid,CDRSUM,Stage 6,3.862,3.6703
